Symbol,Data,Value
TECH,2/18/20,1331.4469886666668
TECH,2/19/20,1340.1766356666667
TECH,2/20/20,1330.5167033333332
TECH,2/21/20,1298.0433146666667
TECH,2/24/20,1243.0199993333333
TECH,2/25/20,1216.4233093333335
TECH,2/26/20,1221.8066713333333
TECH,2/27/20,1158.6366679999999
TECH,2/28/20,1165.4799803333333
TECH,3/2/20,1213.9566446666668
TECH,3/3/20,1179.9000039999999
TECH,3/4/20,1221.6966553333334
TECH,3/5/20,1178.6633603333332
TECH,3/6/20,1162.843333
TECH,3/9/20,1094.1133523333333
TECH,3/10/20,1152.5166523333335
TECH,3/11/20,1103.900004
TECH,3/12/20,1013.250005
TECH,3/13/20,1094.2666603333334
TECH,3/16/20,1005.2299956666666
TECH,3/17/20,1060.166672
TECH,3/18/20,1057.8566823333333
TECH,3/19/20,1080.3333639999998
TECH,3/20/20,1049.216639
TECH,3/23/20,1061.2733153333334
