Symbol,Data,Value
CONSM,2019-11-01,89.37666333333334
CONSM,2019-11-04,88.46333333333332
CONSM,2019-11-05,88.14333099999999
CONSM,2019-11-06,88.46666966666665
CONSM,2019-11-07,88.25
CONSM,2019-11-08,88.71000166666666
CONSM,2019-11-11,88.12333166666667
CONSM,2019-11-12,87.77666733333335
CONSM,2019-11-13,88.18666566666667
CONSM,2019-11-14,88.09666966666667
CONSM,2019-11-15,89.58333333333333
CONSM,2019-11-18,89.63
CONSM,2019-11-19,89.79667133333334
CONSM,2019-11-20,89.89333566666666
CONSM,2019-11-21,90.11666866666667
CONSM,2019-11-22,90.71333800000001
CONSM,2019-11-25,90.336665
CONSM,2019-11-26,90.956665
CONSM,2019-11-27,91.22000133333331
CONSM,2019-11-29,91.10666900000001
CONSM,2019-12-02,91.080002
CONSM,2019-12-03,90.87333699999999
CONSM,2019-12-04,92.22666933333335
CONSM,2019-12-05,91.96666466666666
CONSM,2019-12-06,92.580002
CONSM,2019-12-09,92.55333466666666
CONSM,2019-12-10,92.08666966666665
CONSM,2019-12-11,92.69333400000001
CONSM,2019-12-12,92.83999633333333
CONSM,2019-12-13,93.10666900000001
CONSM,2019-12-16,92.94999700000001
CONSM,2019-12-17,93.24333200000001
CONSM,2019-12-18,93.05333433333332
CONSM,2019-12-19,93.94000233333334
CONSM,2019-12-20,94.65999866666668
CONSM,2019-12-23,94.49333166666668
CONSM,2019-12-24,94.27333066666665
CONSM,2019-12-26,94.17333466666666
CONSM,2019-12-27,94.42999766666667
CONSM,2019-12-30,94.03666700000001
CONSM,2019-12-31,94.17999766666667
CONSM,2020-01-02,93.93000266666667
CONSM,2020-01-03,93.30333466666667
CONSM,2020-01-06,93.41666666666667
CONSM,2020-01-07,92.99666366666668
CONSM,2020-01-08,93.22000133333331
CONSM,2020-01-09,93.39333066666666
CONSM,2020-01-10,93.19666566666668
CONSM,2020-01-13,94.07666533333334
CONSM,2020-01-14,94.45666999999999
CONSM,2020-01-15,95.40333066666666
CONSM,2020-01-16,95.936666
CONSM,2020-01-17,96.80999766666666
CONSM,2020-01-21,97.043335
CONSM,2020-01-22,97.21000166666666
CONSM,2020-01-23,97.39333099999999
CONSM,2020-01-24,97.08000166666666
CONSM,2020-01-27,96.96333299999999
